id,title,cta,type,school_year,month,day,moment,triggers,secondary_cta_1,secondary_cta_2,marketo_id,open_rate,click_rate,platform,time,audience,recipient,campaign,theme,preference,college,campus,event_state,personas
oncampus-experience-confirmation,You're registered: On-Campus Experience,Add to calendar,email,10,Feb,11,,rmit-on-campus-experience,Getting here and parking,,,,,cvent,,Registered attendees,,On-Campus Experience,,,,city,registered,domsl
oncampus-experience-reminder-email,On-Campus Experience is in 2 days,Getting here and parking,email,10,Feb,16,,rmit-on-campus-experience,See the program,,,,,cvent,,Registered attendees,,On-Campus Experience,,,,city,registered,domsl
oncampus-experience-reminder-sms,Reminder: On-Campus Experience today,,sms,10,Feb,18,,rmit-on-campus-experience,,,,,,clicksend,8:00 AM,Registered attendees,,On-Campus Experience,,,,city,registered,domsl
oncampus-experience-survey,How was On-Campus Experience? 2-min survey,Take the 2-minute survey,email,10,Feb,19,,rmit-on-campus-experience,Explore your next steps,,,,,cvent,,Event attendees,,On-Campus Experience,,,,city,attended,domsl
april-tour-bundoora-confirmation,You're registered: April Campus Tour (Bundoora),Add to calendar,email,10,Apr,6,,april-school-holidays-campus-tour-bundoora,Getting here and parking,,,,,cvent,,Registered attendees,,Campus tour,,,,bundoora,registered,domsl
april-tour-bundoora-reminder-email,April Campus Tour (Bundoora) is in 2 days,Getting here and parking,email,10,Apr,11,,april-school-holidays-campus-tour-bundoora,See the program,,,,,cvent,,Registered attendees,,Campus tour,,,,bundoora,registered,domsl
april-tour-bundoora-reminder-sms,Reminder: April Campus Tour (Bundoora) today,,sms,10,Apr,13,,april-school-holidays-campus-tour-bundoora,,,,,,clicksend,8:00 AM,Registered attendees,,Campus tour,,,,bundoora,registered,domsl
april-tour-bundoora-survey,How was April Campus Tour (Bundoora)? 2-min survey,Take the 2-minute survey,email,10,Apr,14,,april-school-holidays-campus-tour-bundoora,Explore your next steps,,,,,cvent,,Event attendees,,Campus tour,,,,bundoora,attended,domsl
april-tour-city-1-confirmation,You're registered: April Campus Tour (City),Add to calendar,email,10,Apr,7,,april-school-holidays-campus-tour-city,Getting here and parking,,,,,cvent,,Registered attendees,,Campus tour,,,,city,registered,domsl
april-tour-city-1-reminder-email,April Campus Tour (City) is in 2 days,Getting here and parking,email,10,Apr,12,,april-school-holidays-campus-tour-city,See the program,,,,,cvent,,Registered attendees,,Campus tour,,,,city,registered,domsl
april-tour-city-1-reminder-sms,Reminder: April Campus Tour (City) today,,sms,10,Apr,14,,april-school-holidays-campus-tour-city,,,,,,clicksend,8:00 AM,Registered attendees,,Campus tour,,,,city,registered,domsl
april-tour-city-1-survey,How was April Campus Tour (City)? 2-min survey,Take the 2-minute survey,email,10,Apr,15,,april-school-holidays-campus-tour-city,Explore your next steps,,,,,cvent,,Event attendees,,Campus tour,,,,city,attended,domsl
student-for-a-day-confirmation,You're registered: Student for a Day,Add to calendar,email,11,Sep,23,,rmit-student-for-a-day,Getting here and parking,,,,,cvent,,Registered attendees,,Student for a Day,,,,city,registered,domsl
student-for-a-day-reminder-email,Student for a Day is in 2 days,Getting here and parking,email,11,Sep,28,,rmit-student-for-a-day,See the program,,,,,cvent,,Registered attendees,,Student for a Day,,,,city,registered,domsl
student-for-a-day-reminder-sms,Reminder: Student for a Day today,,sms,11,Sep,30,,rmit-student-for-a-day,,,,,,clicksend,8:00 AM,Registered attendees,,Student for a Day,,,,city,registered,domsl
student-for-a-day-survey,How was Student for a Day? 2-min survey,Take the 2-minute survey,email,11,Oct,1,,rmit-student-for-a-day,Explore your next steps,,,,,cvent,,Event attendees,,Student for a Day,,,,city,attended,domsl
