id,title,primary_cta,type,school_year,month,day,moment,triggers,secondary_cta,tertiary_cta,marketo_id,open_rate,click_rate,platform,time,audience,recipient,campaign,theme,preference,college,campus,event_state,cvp,variants,variant_basis,new_2026,utm,personas
,Here's a glimpse of 2026,Key dates for 2026,email,12,Mar,17,,,we'll be in touch throughout the year,April School Holiday Tours,,,,marketo,,Year 12,,Nurture SL,Key dates for 2026 + we'll be in touch throughout the year + April School Holiday Tours,,,,,,,,,,domsl
glimpse-2026-yr10,Here's a glimpse of 2026,Key dates for 2026,email,10,Mar,17,,,we'll be in touch throughout the year,April School Holiday Tours,,,,marketo,,Yr 10,,Nurture SL,Key dates for 2026 + we'll be in touch throughout the year + April School Holiday Tours,,,,,,,,,,domsl
,Here's a glimpse of 2026,Key dates for 2026,email,11,Mar,17,,,we'll be in touch throughout the year,April School Holiday Tours,,,,marketo,,Yr 11,,Nurture SL,Key dates for 2026 + we'll be in touch throughout the year + April School Holiday Tours,,,,,,,,,,domsl
,What is vocational study?,What is it series — TAFE vs university,email,12,Apr,22,,,kinds of VE courses,,,,,marketo,,Year 12,,Nurture SL,What is it series — TAFE vs university + kinds of VE courses,,,,,,,,,,domsl
,What is vocational study?,What is it series — TAFE vs university,email,11,Apr,22,,,kinds of VE courses,,,,,marketo,,Yr 11,,Nurture SL,What is it series — TAFE vs university + kinds of VE courses,,,,,,,,,,domsl
,What is vocational study?,What is it series — TAFE vs university,email,10,Apr,22,,,kinds of VE courses,,,,,marketo,,Yr 10,,Nurture SL,What is it series — TAFE vs university + kinds of VE courses,,,,,,,,,,domsl
,What to know about scholarships?,What is it series — how scholarships work,email,12,Apr,29,,,showcase,,,,,marketo,,Year 12,,Nurture SL,What is it series — how scholarships work + showcase,,,,,,,,,,domsl
,What to know about scholarships?,What is it series — how scholarships work,email,11,Apr,29,,,showcase,,,,,marketo,,Y11,,Nurture SL,What is it series — how scholarships work + showcase,,,,,,,,,,domsl
,What to know about scholarships?,What is it series — how scholarships work,email,10,Apr,29,,,showcase,,,,,marketo,,Y10,,Nurture SL,What is it series — how scholarships work + showcase,,,,,,,,,,domsl
,What are pathways?,What is it series — pathways as alternate entry if the ATAR falls short,email,12,May,13,,,,,,,,marketo,,Year 12,,Nurture SL,What is it series — pathways as alternate entry if the ATAR falls short,,,,,,,,,,domsl
,What are pathways?,What is it series — pathways as alternate entry if the ATAR falls short,email,11,May,13,,,,,,,,marketo,,Yr 11,,Nurture SL,What is it series — pathways as alternate entry if the ATAR falls short,,,,,,,,,,domsl
,What are pathways?,What is it series — pathways as alternate entry if the ATAR falls short,email,10,May,13,,,,,,,,marketo,,Yr 10,,Nurture SL,What is it series — pathways as alternate entry if the ATAR falls short,,,,,,,,,,domsl
,Discover Melbourne,Uni guide and tips,email,12,May,29,,,Open Day mention,,,,,marketo,,Year 12,,Nurture SL,Uni guide and tips + Open Day mention,,,,,,,,,,domsl
,Moving to Melbourne,Moving to Melbourne / uni guide,email,12,May,29,,,Open Day mention,,,,,marketo,,Regional Yr 12,,Nurture SL,Moving to Melbourne / uni guide + Open Day mention,,,regional,,,,,,,domsl
,Discover Melbourne,Uni guide and tips,email,11,May,29,,,Open Day mention,,,,,marketo,,Yr 11,,Nurture SL,Uni guide and tips + Open Day mention,,,,,,,,,,domsl
,Discover Melbourne,Uni guide and tips,email,10,May,29,,,Open Day mention,,,,,marketo,,Yr 10,,Nurture SL,Uni guide and tips + Open Day mention,,,,,,,,,,domsl
,Only at Open Day can you...,Initial Open Day messaging and highlights,email,12,May,19,openday-y12,,,,,,,marketo,,New Open Day leads (SL & NSL),,Open Day,Initial Open Day messaging and highlights,,,,,,,,,,domsl
,Register for Open Day and win,Register for a chance to win,email,12,Jun,10,openday-y12,,first peek at the vibe,,,,,marketo,,Interest Area,,Open Day,Register for a chance to win + first peek at the vibe,,,,,,,,,,domsl
,Only at Bundoora,Virtual tour of the Bundoora campus,email,12,Jun,18,openday-y12,,,,,,,marketo,,Registered Bundoora,,Open Day,Virtual tour of the Bundoora campus,,,bundoora,registered,,,,,,domsl
,Only at the City Campus,Virtual tour of the City campus,email,12,Jun,18,openday-y12,,,,,,,marketo,,Registered City,,Open Day,Virtual tour of the City campus,,,city,registered,,,,,,domsl
,Only at Brunswick,Virtual tour of the Brunswick campus,email,12,Jun,18,openday-y12,,,,,,,marketo,,Registered Brunswick,,Open Day,Virtual tour of the Brunswick campus,,,brunswick,registered,,,,,,domsl
,Best questions to ask on the day,Best questions to ask on the day and who to ask them to,email,12,Jun,30,openday-y12,,,,,,,marketo,,Registered Bundoora,,Open Day,Best questions to ask on the day and who to ask them to,,,bundoora,registered,,,,,,domsl
,Best questions to ask on the day,Best questions to ask on the day and who to ask them to,email,12,Jun,30,openday-y12,,,,,,,marketo,,Registered City,,Open Day,Best questions to ask on the day and who to ask them to,,,city,registered,,,,,,domsl
,Best questions to ask on the day,Best questions to ask on the day and who to ask them to,email,12,Jun,30,openday-y12,,,,,,,marketo,,Registered Brunswick,,Open Day,Best questions to ask on the day and who to ask them to,,,brunswick,registered,,,,,,domsl
,Only at RMIT Open Day,Why you won't want to miss RMIT Open Day 2026,email,12,Jul,2,openday-y12,,,,,,,marketo,,Yr 10-12 - unregistered,,Open Day,Why you won't want to miss RMIT Open Day 2026,,,,unregistered,,,,,,domsl
,Only at RMIT Open Day,Why you won't want to miss RMIT Open Day 2026,email,10,Jul,2,openday-y10,,,,,,,marketo,,Yr 10-12 - unregistered,,Open Day,Why you won't want to miss RMIT Open Day 2026,,,,unregistered,,,,,,domsl
,Only at RMIT Open Day,Why you won't want to miss RMIT Open Day 2026,email,11,Jul,2,openday-y11,,,,,,,marketo,,Yr 10-12 - unregistered,,Open Day,Why you won't want to miss RMIT Open Day 2026,,,,unregistered,,,,,,domsl
,The Open Day guide is live,Download the full guide or your study area,email,12,Jul,15,openday-y12,,,,,,,marketo,,Registered - Interest Areas,,Open Day,Download the full guide or your study area,,,,registered,,,,,,domsl
,The Open Day guide is live,Download the full guide or your study area,email,12,Jul,15,openday-y12,,,,,,,marketo,,Operational Interest Areas,,Open Day,Download the full guide or your study area,,,,registered,,,,,,domsl
,What to know about Open Day,"Food, prayer space, sensory space, shuttle bus, parking",email,12,Jul,24,openday-y12,,,,,,,marketo,,Registered (Campus Specific) SL + NSL,,Open Day,"Food, prayer space, sensory space, shuttle bus, parking",,,,registered,,,,,,domsl
,What to know about Open Day,Logistics,email,12,Jul,24,openday-y12,,Open Day is for everyone,,,,,marketo,,"Unregistered (All campus, excluding Bundoora leads) SL + NSL",,Open Day,Logistics + Open Day is for everyone,,,,unregistered,,,,,,domsl
,What to know about Open Day - Bundoora push,Logistics — Bundoora push,email,12,Jul,24,openday-y12,,,,,,,marketo,,"Unregistered (IA Education, trades and health) SL + NSL",,Open Day,Logistics — Bundoora push,,,,unregistered,,,,,,domsl
,What's next after Open Day,VTAC launch,email,12,Aug,25,,,events to look forward to (S4AD etc),,,,,marketo,,Year 12,,VTAC,VTAC launch + events to look forward to (S4AD etc),,,,,,,,,,domsl
,What's next after Open Day,VTAC launch,email,11,Aug,25,,,events to look forward to (S4AD etc),,,,,marketo,,Year 11,,VTAC,VTAC launch + events to look forward to (S4AD etc),,,,,,,,,,domsl
,What's next after Open Day,VTAC launch,email,10,Aug,25,,,events to look forward to (S4AD etc),,,,,marketo,,Year 10,,VTAC,VTAC launch + events to look forward to (S4AD etc),,,,,,,,,,domsl
,We're here to help <Preference RMIT>,VTAC services and event,email,12,Sep,10,vtac-close,,here to help,,,,,marketo,,Year 12,,VTAC,VTAC services and event + here to help,,,,,,,,,,domsl
,Become an RMIT Student for a Day,,email,11,Sep,10,,,,,,,,marketo,,Year 11,,S4AD,,,,,,,,,,,domsl
,Become an RMIT Student for a Day,,email,10,Sep,10,,,,,,,,marketo,,Year 10,,S4AD,,,,,,,,,,,domsl
