date,channel,contacts,handle_time,wait_time,abandonment_rate,csat,csat_responses
2026-11-19,phone,135,6:11,1:14,4%,4.4,16
2026-11-19,chat,87,9:26,0:36,4%,4.4,10
2026-11-19,face-to-face,22,11:32,2:45,4%,,2
2026-11-20,phone,132,6:06,1:22,5%,4.5,15
2026-11-20,chat,98,9:09,0:36,5%,4.5,11
2026-11-20,face-to-face,23,12:05,2:53,5%,,2
2026-11-21,phone,35,5:53,1:17,4%,,4
2026-11-21,chat,21,9:34,0:41,4%,,2
2026-11-21,face-to-face,6,11:41,2:52,4%,,0
2026-11-22,phone,35,6:02,1:20,5%,,4
2026-11-22,chat,24,9:10,0:36,4%,,2
2026-11-22,face-to-face,6,12:05,2:43,4%,,0
2026-11-23,phone,150,6:12,1:17,4%,4.5,18
2026-11-23,chat,89,9:39,0:42,5%,4.5,10
2026-11-23,face-to-face,22,12:23,3:07,4%,,2
2026-11-24,phone,133,6:08,1:18,4%,4.4,15
2026-11-24,chat,84,9:08,0:36,3%,4.6,10
2026-11-24,face-to-face,23,11:56,2:56,5%,,2
2026-11-25,phone,141,6:01,1:26,5%,4.6,16
2026-11-25,chat,88,9:10,0:38,5%,4.6,10
2026-11-25,face-to-face,23,12:06,2:50,4%,,2
2026-11-26,phone,133,6:12,1:12,4%,4.5,15
2026-11-26,chat,98,9:40,0:41,4%,4.5,11
2026-11-26,face-to-face,22,12:21,3:14,4%,,2
2026-11-27,phone,136,5:53,1:18,3%,4.5,16
2026-11-27,chat,82,9:04,0:37,3%,4.5,9
2026-11-27,face-to-face,22,11:25,2:47,3%,,2
2026-11-28,phone,37,6:04,1:21,3%,,4
2026-11-28,chat,21,9:28,0:36,5%,,2
2026-11-28,face-to-face,6,11:43,2:45,3%,,0
2026-11-29,phone,37,6:11,1:14,3%,,4
2026-11-29,chat,20,9:57,0:40,3%,,2
2026-11-29,face-to-face,6,11:36,3:07,4%,,0
2026-11-30,phone,147,5:59,1:20,4%,4.5,17
2026-11-30,chat,95,9:48,0:43,5%,4.6,11
2026-11-30,face-to-face,26,11:26,2:50,4%,,3
2026-12-01,phone,126,6:26,1:16,4%,4.5,15
2026-12-01,chat,89,9:22,0:43,5%,4.6,10
2026-12-01,face-to-face,23,12:08,2:50,4%,,2
2026-12-02,phone,151,6:21,1:25,4%,4.5,18
2026-12-02,chat,82,9:44,0:41,5%,4.6,9
2026-12-02,face-to-face,24,12:21,2:48,4%,,2
2026-12-03,phone,153,6:18,1:18,4%,4.6,18
2026-12-03,chat,84,9:47,0:37,3%,4.6,10
2026-12-03,face-to-face,23,11:49,3:11,5%,,2
2026-12-04,phone,141,6:15,1:14,3%,4.6,16
2026-12-04,chat,90,9:48,0:43,4%,4.6,10
2026-12-04,face-to-face,23,12:06,2:51,4%,,2
2026-12-05,phone,33,6:04,1:18,3%,,3
2026-12-05,chat,22,9:53,0:40,5%,,2
2026-12-05,face-to-face,6,11:55,3:01,4%,,0
2026-12-06,phone,32,6:09,1:12,4%,,3
2026-12-06,chat,23,9:33,0:40,4%,,2
2026-12-06,face-to-face,6,11:43,2:45,4%,,0
2026-12-07,phone,147,6:25,1:20,4%,4.6,17
2026-12-07,chat,88,9:40,0:40,4%,4.5,10
2026-12-07,face-to-face,24,12:14,3:01,4%,,2
2026-12-08,phone,150,6:26,1:27,4%,4.5,18
2026-12-08,chat,96,9:05,0:37,3%,4.5,11
2026-12-08,face-to-face,23,12:28,2:44,4%,,2
2026-12-09,phone,130,6:24,1:23,4%,4.4,15
2026-12-09,chat,98,9:29,0:37,5%,4.5,11
2026-12-09,face-to-face,27,12:01,3:11,3%,,3
2026-12-10,phone,609,5:52,13:53,45%,3.4,73
2026-12-10,chat,409,9:37,7:18,45%,3.4,49
2026-12-10,face-to-face,112,12:33,30:23,45%,3.4,13
2026-12-11,phone,412,6:01,8:10,26%,3.8,49
2026-12-11,chat,266,9:16,4:13,38%,3.8,31
2026-12-11,face-to-face,74,11:30,20:54,33%,3.8,8
2026-12-12,phone,76,6:26,5:36,19%,3.9,9
2026-12-12,chat,55,9:05,2:52,16%,4.1,6
2026-12-12,face-to-face,16,12:30,12:03,18%,,1
