id,team,title,cta,type,school_year,month,day,moment,triggers,secondary_cta_1,secondary_cta_2,marketo_id,open_rate,click_rate,platform,time,audience,recipient,campaign,theme,preference,college,campus,event_state
,Marketing,Ready for what's next at RMIT,,email,Post,Jan,11,cop,,,,,61.9%,2.0%,marketo,,Year  12s,student,COP,Did you know about COP rounds 3-5?,,,,
,Marketing,RMIT Trades Experience,,email,12,Feb,10,,,,,,50.9%,0.8%,marketo,,Year 12,student,Nurture SL,"Get on the tools at the Bundoora Trades Experience Day {name pending}. Experience what it’s like to study carpentry, plumbing, refrigeration, electrical and surveying at RMIT’s Bundoora campus.",,,,
,Marketing,Here's whats on Trades Event (Rego driven),,email,12,Mar,3,,,,,,44.6%,1.1%,marketo,,Building - Year 12,student,Nurture SL,Don't miss your opportunity to register for the  Bundoora Trades Experience Day {name pending},,,,
,Marketing,Here's whats on Trades Event (Rego driven),,email,10,Mar,3,,,,,,52.1%,,marketo,,Building - Year 11 and 10,student,Nurture SL,Don't miss your opportunity to register for the  Bundoora Trades Experience Day {name pending},,,,
,Marketing,Here's whats on Trades Event (Rego driven),,email,11,Mar,3,,,,,,52.1%,,marketo,,Building - Year 11 and 10,student,Nurture SL,Don't miss your opportunity to register for the  Bundoora Trades Experience Day {name pending},,,,
,Marketing,Here's a glimpse of 2026,,email,12,Mar,17,,,,,,54.3%,3.7%,marketo,,Year 12,student,Nurture SL,Key dates for 2026 + we'll be in touch throughout the year to tell you all about RMIT + April School Holiday Tours,,,,
,Marketing,Here's a glimpse of 2026,,email,10,Mar,17,,,,,,51.8%,4.2%,marketo,,Yr 10,student,Nurture SL,Key dates for 2026 + we'll be in touch throughout the year to tell you all about RMIT + April School Holiday Tours,,,,
,Marketing,Here's a glimpse of 2026,,email,11,Mar,17,,,,,,52.6%,3.5%,marketo,,Yr 11,student,Nurture SL,Key dates for 2026 + we'll be in touch throughout the year to tell you all about RMIT + April School Holiday Tours,,,,
,Marketing,Areyou coming to the event Y/N,,sms,12,Mar,19,,,,,,,,clicksend,,Registered,student,SMS,Bundoora Trades Experience Day,,,,registered
,Marketing,Reminder if you are still coming to the event,,sms,12,Mar,25,,,,,,,,clicksend,,Registered,student,SMS,Bundoora Trades Experience Day,,,,registered
,Marketing,Thank you for attending the event + Post-event survey),,email,12,Mar,27,,,,,,67.6%,8.3%,marketo,,Attendees,student,,,,,,attended
,Marketing,April School Holiday Tours are this week,,email,12,Apr,12,,,,,,82.4%,27.6%,marketo,,,student,Event reminder,Reminder - School tours,,,,
,Marketing,What is vocational study?,,email,12,Apr,22,,,,,,50.6%,0.9%,marketo,,Year 12,student,Nurture SL,What is it series - Vocational study Explaining  the difference between TAFE and university study + the different kinds of VE courses and which is right for you,,,,
,Marketing,What is vocational study?,,email,12,Apr,22,,,,,,49.0%,1.7%,marketo,,Y10 & Y11,student,Nurture SL,What is it series - Vocational study Explaining  the difference between TAFE and university study + the different kinds of VE courses and which is right for your teen,,,,
,Marketing,Thank you for attending the event + Post-event survey),,email,12,Apr,24,,,,,,63.4%,13.2%,marketo,,Attendees,student,,,,,,attended
,Marketing,What to know about scholarships?,,email,12,Apr,29,,,,,,54.1%,8.4%,marketo,,Year 12,student,Nurture SL,What is it series - Scholarships Explaining everything you need to know about scholarships and how they work. Include a showcase of a few scholarships.,,,,
,Marketing,What to know about scholarships?,,email,12,Apr,29,,,,,,50.2%,6.1%,marketo,,Y10 & Y11,student,Nurture SL,What is it series - Scholarships Explaining everything you need to know about scholarships and how they work. Include a showcase of a few scholarships.,,,,
,Marketing,What are pathways?,,email,12,May,13,,,,,,55.2%,2.4%,marketo,,Year 12,student,Nurture SL,What is it series - Pathways Explaining everything you need to know about pathways and how they can be an alternate entry option for students who don't get the ATAR they want,,,,
,Marketing,What are pathways?,,email,11,May,13,,,,,,52.6%,2.4%,marketo,,Y10 & 11,student,Nurture SL,What is it series - Pathways Explaining everything you need to know about pathways and how they can be an alternate entry option for students who don't get the ATAR they want,,,,
,Marketing,"Image banner, no copy",,email,12,May,14,offers,,,,,79.3%,4.3%,marketo,,Early Offer EOI,student,Early Offer closure,An update on Early Offer for EOI registrants. Use the Early Offer cessation copy deck in the next cell,,,,
,Marketing,Only at Open Day can you...,,email,12,May,19,openday-y12,,,,,68.6%,12.5%,marketo,,New Open Day leads (SL & NSL),student,Open Day,Initial Open Day messaging and highlights. Short and concise copy focused on the event and 'line-up',,,,
,Marketing,Tech and Trades Experience Day 8 July,,email,12,May,26,,,,,,81.0%,29.3%,marketo,,Preregistered for T&T,student,T&T,Email to pre-registered leads with ‘choose your workshop’ messaging. Those who didn’t pre-register got a secondary module for T&T in the regular EDM for that month (split by Parents and Y12),,,,registered
,Marketing,Discover Melbourne,,email,12,May,29,,,,,,51.9%,1.5%,marketo,,Year 12,student,Nurture SL,Uni guide and tips + Open Day mention,,,,
,Marketing,Moving to Melbourne,,email,12,May,29,,,,,,47.8%,3.4%,marketo,,Regional Yr 12,student,Nurture SL,Moving to Melbourne/Uni guide and tips + Open Day mention,,,regional,
,Marketing,Discover Melbourne,,email,10,May,29,,,,,,48.8%,2.0%,marketo,,Yr 10 & 11,student,Nurture SL,Uni guide and tips + Open Day mention,,,,
,Marketing,Discover Melbourne,,email,11,May,29,,,,,,48.8%,2.0%,marketo,,Yr 10 & 11,student,Nurture SL,Uni guide and tips + Open Day mention,,,,
,Marketing,Register for Open Day and win,,email,12,Jun,10,openday-y12,,,,,,,marketo,,Interest Area,student,Open Day,Register now for a chance to win. Here's your first peek at the vibe of Open Day + Tech and Trades module,,,,
,Marketing,Register for Open Day and win,,email,12,Jun,10,openday-y12,,,,,,,marketo,,Interest Area,student,Open Day,Register now for a chance to win. Here's your first peek at the vibe of Open Day + Tech and Trades module,,,,
,Marketing,Register for Open Day and win,,email,12,Jun,10,openday-y12,,,,,,,marketo,,"Interest Area
exc. Bundoora IAs + Brunswick IAs",student,Open Day,Register now for a chance to win. Here's your first peek at the vibe of Open Day + Tech and Trades module,,,bundoora,
,Marketing,Only at Bundoora,,email,12,Jun,18,openday-y12,,,,,,,marketo,,Registered Bundoora,student,Open Day,Get to know your campus! Here's a virtual tour of what the Bundoora campus is all about.,,,bundoora,registered
,Marketing,Only at the City Campus,,email,12,Jun,18,openday-y12,,,,,,,marketo,,Registered City,student,Open Day,Get to know your campus! Here's a virtual tour of what the city campus is all about.,,,city,registered
,Marketing,Only at Brunswick,,email,12,Jun,18,openday-y12,,,,,,,marketo,,Registered Brunswick,student,Open Day,Get to know your campus! Here's a virtual tour of what the Brunswick campus is all about.,,,brunswick,registered
,Marketing,Tech and Trades Experience Day,,email,12,Jun,23,,,,,,,,marketo,,Unregistered leads,student,Tech and Trades,Tech and Trades promotion to support workshop registrations. Trades workshops are struggling the most.,,,,unregistered
,Marketing,Only at the City Campus,,email,12,Jun,25,openday-y12,,,,,,,marketo,,Aviation (Registered),student,Open Day,Aviation Academy Statement,,,,registered
,Marketing,Open Day — Registered Bundoora,,email,12,Jun,30,openday-y12,,,,,,,marketo,,Registered Bundoora,student,Open Day,Best questions to ask on the day and who to ask them to,,,bundoora,registered
,Marketing,Open Day — Registered City,,email,12,Jun,30,openday-y12,,,,,,,marketo,,Registered City,student,Open Day,Best questions to ask on the day and who to ask them to,,,city,registered
,Marketing,Open Day — Registered Brunswick,,email,12,Jun,30,openday-y12,,,,,,,marketo,,Registered Brunswick,student,Open Day,Best questions to ask on the day and who to ask them to,,,brunswick,registered
,Marketing,Only at RMIT Open Day,,email,10,Jul,2,,,,,,,,marketo,,Yr 10-12 - unregistered,student,Open Day,Why you won't want to miss RMIT Open Day 2026. It's our biggest event of the year and it's your chance to see what studying your favourite course is like,,,,unregistered
,Marketing,Only at RMIT Open Day,,email,11,Jul,2,openday-y11,,,,,,,marketo,,Yr 10-12 - unregistered,student,Open Day,Why you won't want to miss RMIT Open Day 2026. It's our biggest event of the year and it's your chance to see what studying your favourite course is like,,,,unregistered
